Token,Pool,Chain,Pool Address
crvFRAX,XAI/FRAXBP,Ethereum,0x326290a1b0004eee78fa6ed4f1d8f4b2523ab669
crvFRAX,OHM/FRAXBP,Ethereum,0xfc1e8bf3e81383ef07be24c3fd146745719de48d
crvFRAX,BADGER/FRAXBP,Ethereum,0x13b876c26ad6d21cb87ae459eaf6d7a1b788a113
crvFRAX,RSR+FRAX/USDC (FRAXBP),Ethereum,0x6a6283aB6e31C2AeC3fA08697A8F806b740660b2
crvFRAX,ALCX/FraxBP,Ethereum,0x4149d1038575CE235E03E03B39487a80FD709D31
crvFRAX,GRAI/FRAXBP,Ethereum,0x3175f54a354c83e8ade950c14fa3e32fc794c0dc
crvFRAX,pUSDFRAXBP-A100,Ethereum,0xe60986759872393a8360a4a7abeab3a6e0ba7848
crvFRAX,MAI+FRAXBP,Ethereum,0x66e335622ad7a6c9c72c98dbfcce684996a20ef9
crvFRAX,sUSDFRAXBP,Ethereum,0xe3c190c57b5959ae62efe3b6797058b76ba2f5ef
crvFRAX,USDDFRAXBP,Ethereum,0x4606326b4db89373f5377c316d3b0f6e55bc6a20
crvFRAX,LUSDFRAXBP,Ethereum,0x497ce58f34605b9944e6b15ecafe6b001206fd25
crvFRAX,DUSD/FRAXBP,Ethereum,0xc73151dca19fff7a16ae421a9fb35455832d66d3
crvFRAX,GUSDFRAXBP,Ethereum,0x4e43151b78b5fbb16298c1161fcbf7531d5f8d93
crvFRAX,BUSDFRAXBP,Ethereum,0x8fdb0bb9365a46b145db80d0b1c5c5e979c84190
crvFRAX,agEUR/FRAXBP,Ethereum,0x58257e4291f95165184b4bea7793a1d6f8e7b627
crvFRAX,VCHF/FRAXBP,Ethereum,
crvFRAX,alUSDFRAXBP,Ethereum,0xb30da2376f63de30b42dc055c93fa474f31330a5
crvFRAX,eUSD+FRAX/USDC (FRAXBP),Ethereum,0xaeda92e6a3b1028edc139a4ae56ec881f3064d4f
crvFRAX,ZUSDFRAXBP,Ethereum,0x400d4c984779a747462e88373c3fe369ef9f5b50
crvFRAX,DOLA/FRAXBP,Ethereum,0xe57180685e3348589e9521aa53af0bcd497e884d
crvFRAX,STG/FRAX-USDC,Ethereum,0x867fe27fc2462cff8890b54dfd64e6d42a9d1ac8
crvFRAX,Zunami UZD/FRAXBP,Ethereum,
crvFRAX,COIL/FRAXBP,Ethereum,0xaf4264916b467e2c9c8acf07acc22b9edddadf33
crvFRAX,cvxFxs/FraxBP,Ethereum,0x21d158d95c2e150e144c36fc64e3653b8d6c6267
crvFRAX,msUSD/FRAXBP,Ethereum,0xc3b19502f8c02be75f3f77fd673503520deb51dd
crvFRAX,clevUSDFRAXBP,Ethereum,0x84c333e94aea4a51a21f6cf0c7f528c50dc7592c
crvFRAX,cvxCrv/FraxBP,Ethereum,0x31c325a01861c7dbd331a9270296a31296d797a0
crvFRAX,CVX/FraxBP,Ethereum,0xbec570d92afb7ffc553bdd9d4b4638121000b10d
crvFRAX,SDT / FRAXBP,Ethereum,0x3e3c6c7db23cddef80b694679aaf1bcd9517d0ae
crvFRAX,apeUSDFRAXBP,Ethereum,0x04b727c7e246ca70d496ecf52e6b6280f3c8077d
crvFRAX,TUSDFRAXBP,Ethereum,0x33baeda08b8afacc4d3d07cf31d49fc1f1f3e893
crvFRAX,mkUSD/FRAXBP,Ethereum,0x0cfe5c777a7438c9dd8add53ed671cec7a5faee5
crvFRAX,fETH/FRAXBP,Ethereum,0x5f5fe47fed55eae627386995198294c39e1d17a5
crvFRAX,PYUSD/FRAXBP,Ethereum,0x61fa2c947e523f9abfb8d7e2903a5d5218c119a7
FRAX,Bunni - UNIV3 - FRAX/alUSD,Ethereum,0x173cac7a9f823ba3b2bac05d0c8bd68efd924420
FRAX,Bunni - UNIV3 - FRAX/USDC,Ethereum,0x9a834b70c07c81a9fcd6f22e842bf002fbffbe4d
FRAX,Curve TricryptoFRAX Pool,Ethereum,0x4d1941a887ec788f059b3bfcc8ee1e97b968825b
FRAX,arbi-VST-FRAX,Arbitrum,0x59bf0545fca0e5ad48e13da269facd2e8c886ba4
FRAX,arbi-FRAXBP,Arbitrum,0xc9b8a3fdecb9d5b218d02555a8baf332e5b740d5
crvFRAX,arbi-axlUSDC-FRAXBP,Arbitrum,
crvFRAX,Arbitrum - Curve - USD+-FRAXBP,Arbitrum,0xb34a7d1444a707349bc7b981b7f2e1f20f81f013
crvFRAX,Arbitrum - Curve - fxUSD-FRAXBP,Arbitrum,0xab174ffa530c888649c44c4d21c849bbaabc723f
crvFRAX,Arbitrum - Curve - IN-FRAXBP,Arbitrum,0xc9fb013da36fad6422dabb4f2ddfdaaca17205e6
FRAX,op-FRAXBP,Optimism,
frxETH,Curve frxETH-ETH Pool,Ethereum,0xa1f8a6807c402e4a15ef4eba36528a3fed24e577
frxETH,Curve frxETH-WETH Pool,Ethereum,0x9c3b46c0ceb5b9e304fcd6d88fc50f7dd24b31bc
frxETH,Curve frxETH-stETH Pool,Ethereum,0x4d9f9d15101eec665f77210cb999639f760f831e
frxETH,Curve frxETH-CVX Pool,Ethereum,0x47d5e1679fe5f0d9f0a657c6715924e33ce05093
frxETH,Curve frxETH-sETH Pool,Ethereum,0x663ac72a1c3e1c4186cd3dcb184f216291f4878c
frxETH,Curve frxETH-alETH Pool,Ethereum,0xb657b895b265c38c53fff00166cf7f6a3c70587d
frxETH,Curve frxETH-rETH Pool,Ethereum,0xe7c6e0a739021cdba7aac21b4b728779eef974d9
frxETH,Curve frxETH-cbETH Pool,Ethereum,0x73069892f6750ccaaababadc54b6b6b36b3a057d
frxETH,Curve frxETH-ankrETH Pool,Ethereum,0x41ea4045de2676727883aa0b4e43d7e32261f559
frxETH,Curve frxETH-msETH Pool,Ethereum,0x2d600bbbcc3f1b6cb9910a70bab59ec9d5f81b9a
frxETH,Curve triSDT Pool,Ethereum,0x954313005c56b555bdc41b84d6c63b69049d7847
frxETH,Curve frxETH-dETH Pool,Ethereum,0x7c0d189e1fecb124487226dcba3748bd758f98e4
frxETH,Curve frxETH-swETH Pool,Ethereum,0x67e0bdbe0a2c5999a60d048f50e794218056b767
frxETH,Curve frxETH-WACME Pool,Ethereum,0x7bbe7a17e501bb6542e975d8a163950149487fa3
frxETH,Curve frxETH-rETH (stafi.io) Pool,Ethereum,0xfcc067efb7be2eebd32615f14fc22195abb68e9b
frxETH,Curve TriSilo Pool,Ethereum,0x86bf09acb47ab31686be413d614e9ded3666a1d3
frxETH,Curve TricryptoFRAX Pool,Ethereum,0x4d1941a887ec788f059b3bfcc8ee1e97b968825b
frxETH,PancakeSwap - AMM - frxETH/WETH,Ethereum,0x5c9c6f39ce25cc6d0f39410f890933a1476fb1b0
frxETH,Wombat - frxETH/WETH/sfrxETH,Ethereum,0x724515010904518eCF638Cc6d693046B82548068
frxETH,Curve frxETH-pETH Pool,Ethereum,0x320b564fb9cf36933ec507a846ce230008631fd3
frxETH,Bunni - UNIV3 - frxETH/WETH,Ethereum,0x8a15b2dc9c4f295dcebb0e7887dd25980088fdcb
frxETH,Bunni - UNIV3 - frxETH/alETH,Ethereum,0x7bc9f6e89a81a1e2b61dd5508bb2e4c8ff0fc060
frxETH,Solidly - StableV2 AMM - frxETH/WETH,Ethereum,0x4e30fc7ccd2df3ddca39a69d2085334ee63b9c96
FRAX,Optimism - Velodrome - StableV2 AMM - FRAX/DOLA,Optimism,0x1f8b46abe1EAbF5A60CbBB5Fb2e4a6A46fA0b6e6
FRAX,Optimism - Velodrome - StableV2 AMM - FRAX/USDC,Optimism,0x8542DD4744edEa38b8a9306268b08F4D26d38581
FRAX,Optimism - Velodrome - StableV2 AMM - FRAX/USD+,Optimism,0xD330841EF9527E3Bd0abc28a230C7cA8dec9423B
FRAX,Optimism - Velodrome - VolatileV2 AMM - FRAX/OP,Optimism,0xe9b168fa9409EaFFa07679196c7568317baf80eD
FRAX,Optimism - Velodrome - StableV2 AMM - FRAX/MAI,Optimism,0xc37a0a37664aeB3848f98C5dD5d7AE286A1E9Ebd
FRAX,Optimism - Velodrome - StableV2 AMM - FRAX/alUSD,Optimism,0xaF03f51DE7a0E62BF061F6Fc3931cF79166B0a29
FRAX,Optimism - Velodrome - VolatileV2 AMM - FRAX/FXS,Optimism,0xF66e01f9d175F979e9b2767B71db04470a15B598
FRAX,Optimism - Velodrome - StableV2 AMM - DUSD/FRAX,Optimism,0xBf75051F6e6dF9fEcF90d9bebbBB08a85950858C
FRAX,Optimism - Velodrome - StableV2 AMM - FRAX/opxVELO,Optimism,0xE5c8953fFb85C0aa99cB80cc96Cf0D41b391D8F5
FRAX,Optimism - Fraxswap V2 - FRAX/FXS,Optimism,0x9456c020D3A05b159dAB4557535083fBA836c49A
FRAX,Optimism - Fraxswap V2 - FRAX/WETH,Optimism,0xCc4Dd8Bc7967D46060bA3fAAA8e525A35625F8b4
FRAX,Optimism - Uniswap V3 - FRAX/USDC,Optimism,0x98D9aE198f2018503791D1cAf23c6807C135bB6b
FRAX,Optimism - Uniswap V3 - FRAX/FXS,Optimism,0x01e37e62733d1792e3cF8ce45630589B8Ac7C2ba
FRAX,Optimism - Wombat - FRAX/USDC,Optimism,
frxETH,Optimism - Velodrome - StableV2 AMM - frxETH/sfrxETH,Optimism,0xFF5318f81Dd791e92d51b8A54fA3538832D2890D
frxETH,Optimism - Velodrome - VolatileV2 AMM - frxETH/OP,Optimism,0x2fE304b407c7fAb2a3c10962F14dB751468a4f5b
frxETH,Optimism - Velodrome - StableV2 AMM - frxETH/WETH,Optimism,0x3f42Dc59DC4dF5cD607163bC620168f7FF7aB970
frxETH,Optimism - Velodrome - StableV2 AMM - frxETH/alETH,Optimism,0x1AD06Ca54de04DBe9e2817F4C13eCB406DCbeAf0
frxETH,Optimism - Velodrome - StableV2 AMM - frxETH/opxVELO,Optimism,0x04E9e8dD950aBAA1838703B487e417199d3c1e60
frxETH,Optimism - Wombat - frxETH/WETH/sfrxETH,Optimism,
FRAX,Arbitrum - Arbidex - CL-FRAX/USDC,Arbitrum,0x46dc00f9de3d51182f8686e1f8491645506e2f61
FRAX,Arbitrum - Arbidex - sAMM-FRAX/USD+,Arbitrum,0xb0fb1787238879171edc30b9730968600d55762a
FRAX,Arbitrum - Chronos - StableV1 AMM - FRAX/USD+,Arbitrum,0x0d20ef7033b73ea0c9c320304b05da82e2c14e33
FRAX,Arbitrum - Chronos - StableV1 AMM - FRAX/MAI,Arbitrum,0x37a7bf05807fecd6b1cce53366059e70e313e4af
FRAX,Arbitrum - Ramses - Correlated rAMM - FRAX/DOLA,Arbitrum,0x1850e96550d6716d43ba4d7df815ffc32bd0d03e
FRAX,Arbitrum - Ramses - CL - FRAX/USDC,Arbitrum,0x6A9D961c9602fB484bA3C47c5F822b66721C9669
FRAX,Arbitrum - Ramses - CL - FRAX/GRAI,Arbitrum,0x9e8a58180dbd369ebe2fc0e8dc671ff9835ce5ab
FRAX,Arbitrum - Ramses - CL - frxETH/FRAX 0.05%,Arbitrum,0x0c9710d820e115ef30829b4675e137dd71b25a14
FRAX,Arbitrum - Ramses - CL - DUSD/FRAX,Arbitrum,0x9CF9AaE54109cE68991b88EDb0CE3613eBFd7886
FRAX,Arbitrum - Ramses - CL - alUSD/FRAX,Arbitrum,0xfd599DB360Cd9713657C95dF66650A427d213010
FRAX,Arbitrum - Ramses - CL - USDT/FRAX,Arbitrum,0xc39b54Da0036b8C753c3795ABFE1Ab997b799461
FRAX,Arbitrum - Bunni - UNIV3 - FRAX/svUSD,Arbitrum,
FRAX,Arbitrum - Bunni - UNIV3 - FRAX/frxETH,Arbitrum,0x239dea90ccc7a1bd0c0d6e0a95e2bc8418e1bce3
FRAX,Arbitrum - Bunni - UNIV3 - FRAX/FPI,Arbitrum,0xbc958407ff598cc8056a166163bec610d8db8a36
FRAX,Arbitrum - Bunni - UNIV3 - FRAX/WFIRE,Arbitrum,0xfc919e0c8c96237e2f13993d4a24c1d5b0914f6e
FRAX,Arbitrum - Bunni - UNIV3 - FRAX/ARB,Arbitrum,0x490009da2cecc6889f79805b2455ad047d7b2db9
FRAX,Arbitrum - Bunni - UNIV3 - FRAX/MAI,Arbitrum,0xa1747ec141d846c1224873e14eae635c4e0cbe62
FRAX,Arbitrum - Curve - VST-FRAX,Arbitrum,0x59bf0545fca0e5ad48e13da269facd2e8c886ba4
FRAX,Arbitrum - Curve - FRAXBP,Arbitrum,0xc9b8a3fdecb9d5b218d02555a8baf332e5b740d5
frxETH,Arbitrum - Wombat - frxETH/WETH/sfrxETH,Arbitrum,0x6966553568634f4225330d559a8783de7649c7d3
frxETH,Arbitrum - Arbidex - CL-FRAX/frxETH,Arbitrum,0x1bcf25125343d68b1b938faca4b993e82549612d
frxETH,Arbitrum - Arbidex - CL-frxETH/WETH,Arbitrum,0x76678c984b56371767ada0f5261d5a4b6b6536ee
frxETH,Arbitrum - Chronos - StableV1 AMM - frxETH/sfrxETH,Arbitrum,0xd52862915de98201ba93a45e73081450075c4e33
frxETH,Arbitrum - Chronos - StableV1 AMM - frxETH/WETH,Arbitrum,0xdb286ed48b294d348593bfaf1f862393fa8776e9
frxETH,Arbitrum - Ramses - Correlated rAMM - frxETH/sfrxETH,Arbitrum,0xf166ff5cd771923d4d4fb870403afc6f13dd2d02
frxETH,Arbitrum - Ramses - Correlated rAMM - frxETH/WETH,Arbitrum,0x3932192de4f17dfb94be031a8458e215a44bf560
frxETH,Arbitrum - Ramses - CL - frxETH/FRAX 0.05%,Arbitrum,0x0c9710d820e115ef30829b4675e137dd71b25a14
frxETH,Arbitrum - Ramses - CL - sfrxETH-frxETH 0.01%,Arbitrum,0x31d98f473edf9b23c08884392b5a734e630e8649
frxETH,Arbitrum - Ramses - CL - RDNT/frxETH,Arbitrum,0x6E6D67C1369e62D73F5CEB99E02b3b5E7b89dbb9
frxETH,Arbitrum - Bunni - UNIV3 - frxETH/svETH,Arbitrum,0x6a28350341A27e98170b6e8274bF2382B4DAe6AC
frxETH,Arbitrum - UNIV3 - frxETH/FRAX,Arbitrum,0x239DEA90CcC7a1bD0C0D6E0a95E2BC8418e1BCe3
frxETH,Arbitrum - Bunni - UNIV3 - FRAX/frxETH,Arbitrum,0x239dea90ccc7a1bd0c0d6e0a95e2bc8418e1bce3
FRAX,BSC - Thena - CLPool-frxETH/FRAX (Narrow and Wide),BSC,0x3cadd2f6a964d262b5dd5e7169c284b465336f0e
FRAX,BSC - Thena - CLPool-FRAX/ERN (Correlated),BSC,0x1c2d4f310aea872c5bd55790d2d78ca7b31992a3
FRAX,BSC - Thena - CLPool-FRAX/BNBx (Narrow and Wide),BSC,0x8ab8fd902039a48e51735452b1f97c93cb034e80
FRAX,BSC - Thena - sAMM-FRAX/HAY,BSC,0x04d6115703b0127888323f142b8046c7c13f857d
FRAX,BSC - Thena - sAMM-FRAX/DOLA,BSC,0xfd66a4a4c921cd7194abab38655476a06fbaea05
FRAX,BSC - Thena - sAMM-FRAX/USDT,BSC,0x8d65dbe7206a768c466073af0ab6d76f9e14fc6d
FRAX,BSC - Thena - sAMM-FRAX/BUSD,BSC,0x7fcfe6b06c1f6aad14884ba24a7f315c1c0c2cef
FRAX,BSC - Thena - sAMM-FRAX/MAI,BSC,0x49ad051f4263517bd7204f75123b7c11af9fd31c
FRAX,BSC - Thena - vAMM-FRAX/FXS,BSC,0x3c9bd1f914d6f0e0cd27a1f77e120c061d1fdbed
FRAX,BSC - Thena - sAMM-FRAX/DUSD,BSC,0x2c3EeC9D939197CaBa5dd2A8271F7665a976A987
FRAX,BSC - Thena - vAMM-ETH/FRAX,BSC,0x82437aFe50B21d6910498706Dd4Fc7b6567e03eb
FRAX,BSC - Thena - vAMM-BTCB/FRAX,BSC,0xA4CF2A122e22BDDAEe91d9f3F086B07dCE5cf805
FRAX,BSC - Thena - vAMM-frxETH/FRAX,BSC,0x0d8401cbc650e82d1f21a7461efc6409ef55c4db
FRAX,BSC - Thena - sAMM-FRAX/CUSD,BSC,0x338ca7ed1d6bede03799a36a6f90e107d24dc6ad
FRAX,BSC - Thena - vAMM-frxETH/FRAX,BSC,0x0d8401cbc650e82d1f21a7461efc6409ef55c4db
FRAX,BSC - Thena - vAMM-FRAX/BNBx,BSC,0x314d95096e49fde9ebb68ad7e162b6edd8d4352a
FRAX,BSC - Wombat - FRAX/CUSD/HAY/USD+/USDT+/USDC,BSC,0x6b60066966080deab5090d6026cb134591a1cc95
FRAX,BSC - Wombat - FRAX/BUSD/USDT,BSC,0x47ab513f97e1cc7d7d1a4db4563f1a0fa5c371eb
frxETH,BSC - Thena - sAMM-frxETH/ETH,BSC,0x8a420aaca0c92e3f97cdcfdd852e01ac5b609452
frxETH,BSC - Thena - CLPool-frxETH/sfrxETH (Correlated),BSC,0xd9e98a73102391b3d7d1d94c0c58541abf99a14f
frxETH,BSC - Thena - CLPool-frxETH/WBETH (Correlated),BSC,0x3bc0fc25ad4456cdd4e4805ed89ec0d80db5e2c4
frxETH,BSC - Thena - CLPool-frxETH/HAY (Narrow and Wide),BSC,0xf8A4cDf9eFc4B9b38eaa6e27eE281cB2111fa664
frxETH,BSC - Thena - CLPool-frxETH/FRAX (Narrow and Wide),BSC,0x3cadd2f6a964d262b5dd5e7169c284b465336f0e
frxETH,BSC - Thena - CLPool-frxETH/RDNT,BSC,0x403e786b4168ec718e2e6cb4fa874aade73d54f0
frxETH,BSC - Thena - CLPool-frxETH/BNB,BSC,0x6eb8a743723216a0de043c554c85e447b0d59e2e
frxETH,BSC - Thena - CLPool-frxETH/EQB,BSC,
frxETH,BSC - Thena - sAMM-frxETH/sfrxETH,BSC,0xc2d245919db52ea4d5d269b0c710056639176ead
frxETH,BSC - Wombat - frxETH/WETH/sfrxETH,BSC,0xd67edea100adc2aa8ae0b5cee7bf420ee17e5bb9
frxETH,Retro - WETH-frxETH-100,Plygon,0xe5069a75Bdfe8F676B778B0aaDCcC597841F819B
FRAX,Retro - FRAX-miMATIC-3000,Plygon,0xdeB25Dd2d5D168Fd6f80F154d96a2Dab81d61845
FRAX,Retro - FRAX-CASH-100,Plygon,0x72289129Dc4937a5d406d1ECeD8b2A17d007A650
FRAX,Retro - FRAX-frxETH-500,Plygon,0x38df0c93bf69a9EfB3d3647fF459eF27235A8968
FRAX,Retro - FRAX-USDC-500,Plygon,0x091236A16952BC9e4bB817FFA7aB40263183f658
frxETH,Retro - FRAX-frxETH-500,Plygon,0x38df0c93bf69a9EfB3d3647fF459eF27235A8968
frxETH,Retro - WMATIC-frxETH-500,Plygon,0x44AAE81BE8435b6998A66d9642f66DE57DD03FC2
FRAX,VirtuSwap - FRAX - USDC,Plygon,0x07933c67e70823a877B801E68b194C9497e4f959
FRAX,VirtuSwap - FRAX- WETH,Plygon,0x263f69d26F0b1d9B9b6E4669A34A7066cf6a9480